Type,Size,Type Name,Size Name,USA,Int,,,,,
1,5,Italian Ice,Kids,X,,,,,,
1,6,Italian Ice,Regular,X,,,,,,
1,7,Italian Ice,Large,X,,,,,,
1,8,Italian Ice,Quart,X,,,,,,
1,9,Italian Ice,Gallon,X,,,,,,
1,10,Italian Ice,2 1/2 Gallons,X,,,,,,
1,38,Italian Ice,Container,X,,,,,,
1,73,Italian Ice,Gott Style Container,X,,,,,,
1,185,Italian Ice,Reg FDOSummer Ice,X,,,,,,
1,197,Italian Ice,Misc,X,,,,,,
1,257,Italian Ice,Promo Cup,X,,,,,,
1,350,Italian Ice,FDOS - Large Upgrade,X,,,,,,
1,351,Italian Ice,FDOS - Ice Comp,X,,,,,,
2,198,Cream Ice,Misc,X,,,,,,
3,19,Gelati,Regular,X,,,,,,
3,20,Gelati,Large,X,,,,,,
3,186,Gelati,Reg FDOSummer Gelati,X,,,,,,
3,199,Gelati,Misc,X,,,,,,
4,21,Misto,Regular,X,,,,,,
4,22,Misto,Large,X,,,,,,
4,200,Misto,Misc,X,,,,,,
4,264,Misto,X-Large,X,,,,,,
4,401,Misto,Banofee,X,,,,,,
4,402,Misto,Banofee,X,,,,,,
4,420,Misto,Small,,X,,,,,
5,11,Custard,Kids Cup,X,,,,,,
5,12,Custard,Regular Cup,X,,,,,,
5,13,Custard,Large Cup,X,,,,,,
5,32,Custard,Extra Custard Upcharge,X,,,,,,
5,44,Custard,Kids Cone,X,,,,,,
5,45,Custard,Regular Cone,X,,,,,,
5,46,Custard,Large Cone,X,,,,,,
5,106,Custard,Kids Sundae,X,,,,,,
5,107,Custard,Regular Sundae,X,,,,,,
5,108,Custard,Large Sundae,X,,,,,,
5,109,Custard,Kids Cone/Cup,X,,,,,,
5,110,Custard,Regular Cone/Cup,X,,,,,,
5,111,Custard,Large Cone/Cup,X,,,,,,
5,112,Custard,Sprinkles,X,,,,,,
5,113,Custard,Waffle Cone,X,,,,,,
5,114,Custard,Waffle Bowl,X,,,,,,
5,201,Custard,Misc,X,,,,,,
5,299,Custard,Take Home Custard,X,,,,,,
5,316,Custard,FDOS Custard Upcharge,X,,,,,,
5,344,Custard,Single Dip,X,,,,,,
5,345,Custard,Double Dip,X,,,,,,
5,346,Custard,Triple Dip,X,,,,,,
5,347,Custard,Dipped Waffle Cone/Bowl,X,,,,,,
5,348,Custard,Dipped Waffle w/ Topping,X,,,,,,
5,405,Custard,Affogato,X,,,,,,
5,416,Custard,Fresh Baked Waffle Cone,X,,,,,,
5,417,Custard,Fresh Baked Waffle Bowl,X,,,,,,
6,23,Blendini,Blendini,X,,,,,,
6,87,Blendini,All Custard Blendini,X,,,,,,
6,202,Blendini,Misc,X,,,,,,
6,353,Blendini,Large Blendini,X,,,,,,
6,354,Blendini,Large All Custard Blendini,X,,,,,,
6,407,Blendini,Affogato,X,,,,,,
8,203,Sugar-free,Misc,X,,,,,,
14,204,Alex's Lemonade,Misc,X,,,,,,
15,33,Additional Toppings,Waffle Cone Upcharge,X,,,,,,
15,34,Additional Toppings,Topping Upcharge,X,,,,,,
15,35,Additional Toppings,Sprinkles Upcharge,X,,,,,,
15,36,Additional Toppings,Bottled Water,X,,,,,,
15,61,Additional Toppings,Piping Gel,X,,,,,,
15,91,Additional Toppings,Whipped Cream,X,,,,,,
15,136,Additional Toppings,Additional Topping,X,,,,,,
15,205,Additional Toppings,Misc,X,,,,,,
16,206,Toppers,Misc,X,,,,,,
17,24,Ritaccino,Ritaccino,X,,,,,,
17,207,Ritaccino,Misc,X,,,,,,
20,25,Pretzel,Regular Pretzel,X,,,,,,
20,27,Pretzel,3 Pretzel Special,X,,,,,,
20,28,Pretzel,Specialty Pretzel,X,,,,,,
20,122,Pretzel,Philly Pretzel,X,,,,,,
20,123,Pretzel,Pretzel Braid,X,,,,,,
20,124,Pretzel,Super Pretzel - Small,X,,,,,,
20,125,Pretzel,King Size Super Pretzel,X,,,,,,
20,126,Pretzel,Big Cheese Super Pretzel,X,,,,,,
20,127,Pretzel,Stuffed Pretzel,X,,,,,,
20,208,Pretzel,Misc,X,,,,,,
21,209,Soft Drinks,Misc,X,,,,,,
23,210,Pretzel Blendini,Misc,X,,,,,,
24,211,M&M and Hot Fudge,Misc,X,,,,,,
25,137,Catering (Bulk Ice),Gallon,X,,,,,,
25,138,Catering (Bulk Ice),2 1/2 Gallon,X,,,,,,
25,139,Catering (Bulk Ice),Container,X,,,,,,
25,140,Catering (Bulk Ice),Gott Style Container,X,,,,,,
25,141,Catering (Bulk Ice),Open $ Catering,X,,,,,,
25,171,Catering (Bulk Ice),Shared Catering Revenue,X,,,,,,
25,212,Catering (Bulk Ice),Misc,X,,,,,,
32,213,Slenderita,Misc,X,,,,,,
33,214,Mobile Cart,Misc,X,,,,,,
34,37,Frozen Custard Cakes,Frozen Cakes,X,,,,,,
34,215,Frozen Custard Cakes,Misc,X,,,,,,
35,216,FDOSpring Sales Information,Misc,X,,,,,,
36,217,Easter Sales Information,Misc,X,,,,,,
37,47,Cookie Sandwich Pack,Cookie Sandwich Pack,X,,,,,,
37,218,Cookie Sandwich Pack,Misc,X,,,,,,
38,48,Smoothies,Regular,X,,,,,,
38,49,Smoothies,Large,X,,,,,,
38,219,Smoothies,Misc,X,,,,,,
39,50,Cookies,Chocolate Chip Cookie Single,X,,,,,,
39,52,Cookies,Sugar Cookie Single,X,,,,,,
39,54,Cookies,Oatmeal Cookie Single,X,,,,,,
39,56,Cookies,Peanut Butter Cookie Single,X,,,,,,
39,58,Cookies,Cookie Topping,X,,,,,,
39,59,Cookies,3  $ Same,X,,,,,,
39,60,Cookies,3 $ Mix,X,,,,,,
39,220,Cookies,Misc,X,,,,,,
40,62,Customizable Cakes,Customizable Cakes,X,,,,,,
40,221,Customizable Cakes,Misc,X,,,,,,
41,128,Beverages,Regular Coffee,X,,,,,,
41,129,Beverages,Large Coffee,X,,,,,,
41,130,Beverages,Regular Tea,X,,,,,,
41,131,Beverages,Large Tea,X,,,,,,
41,132,Beverages,Regular Hot Chocolate,X,,,,,,
41,133,Beverages,Large Hot Chocolate,X,,,,,,
41,134,Beverages,Soda,X,,,,,,
41,135,Beverages,Bottled Water,X,,,,,,
41,222,Beverages,Misc,X,,,,,,
41,303,Beverages,Rita's Hot Chocolate,X,,,,,,
41,304,Beverages,Rita's Hot Apple Cider,X,,,,,,
41,306,Beverages,Espresso,X,,,,,,
41,307,Beverages,Americano,X,,,,,,
41,308,Beverages,Cappuccino,X,,,,,,
41,309,Beverages,Affogato,X,,,,,,
41,311,Beverages,Float Upcharge,X,,,,,,
41,334,Beverages,Extra Shot Espresso,X,,,,,,
41,335,Beverages,Large Cappuccino,X,,,,,,
41,336,Beverages,Regular Latte,X,,,,,,
41,337,Beverages,Large Latte,X,,,,,,
41,338,Beverages,Regular Iced Coffee,X,,,,,,
41,339,Beverages,Large Iced Coffee,X,,,,,,
41,340,Beverages,Regular Iced Tea,X,,,,,,
41,341,Beverages,Large Iced Tea,X,,,,,,
41,342,Beverages,Flavor Shots,X,,,,,,
41,343,Beverages,Bottled Drinks,X,,,,,,
41,403,Beverages,Long Black,X,,,,,,
41,404,Beverages,Flat White,X,,,,,,
42,64,Hot Drinks,Regular Coffee,X,,,,,,
42,65,Hot Drinks,Large Coffee,X,,,,,,
42,66,Hot Drinks,Regular Hot Tea,X,,,,,,
42,68,Hot Drinks,Large Hot Tea,X,,,,,,
42,69,Hot Drinks,Regular Hot Chocolate,X,,,,,,
42,70,Hot Drinks,Large Hot Chocolate,X,,,,,,
42,71,Hot Drinks,Regular Specialty,X,,,,,,
42,72,Hot Drinks,Large Specialty,X,,,,,,
42,223,Hot Drinks,Misc,X,,,,,,
42,265,Hot Drinks,8oz Lungo,X,,,,,,
42,266,Hot Drinks,12oz Lungo,X,,,,,,
42,267,Hot Drinks,16oz Lungo,X,,,,,,
42,268,Hot Drinks,8oz Latte,X,,,,,,
42,269,Hot Drinks,12oz Latte,X,,,,,,
42,270,Hot Drinks,16oz Latte,X,,,,,,
42,271,Hot Drinks,8oz Hot Chocolate,X,,,,,,
42,272,Hot Drinks,12oz Hot Chocolate,X,,,,,,
42,273,Hot Drinks,16oz Hot Chocolate,X,,,,,,
42,274,Hot Drinks,8oz Capp,X,,,,,,
42,275,Hot Drinks,12oz Capp,X,,,,,,
42,276,Hot Drinks,16oz Capp,X,,,,,,
43,74,Mix-Ins,Mix-Ins,X,,,,,,
43,224,Mix-Ins,Misc,X,,,,,,
44,225,FDOSummer Sales Information,Misc,X,,,,,,
45,76,Milkshakes,Regular,X,,,,,,
45,226,Milkshakes,Misc,X,,,,,,
45,263,Milkshakes,Large,X,,,,,,
46,78,Sundaes,Regular,X,,,,,,
46,79,Sundaes,Large,X,,,,,,
46,80,Sundaes,Waffle Bowl Upcharge,X,,,,,,
46,81,Sundaes,Additional Toppings,X,,,,,,
46,92,Sundaes,Kids,X,,,,,,
46,227,Sundaes,Misc,X,,,,,,
47,83,Yogurt,Regular,X,,,,,,
47,84,Yogurt,Large,X,,,,,,
47,228,Yogurt,Misc,X,,,,,,
48,85,Frozen Drink,Regular,X,,,,,,
48,86,Frozen Drink,Large,X,,,,,,
48,229,Frozen Drink,Misc,X,,,,,,
48,395,Frozen Drink,Small,X,X,,,,,
48,413,Frozen Drink,Specialty,X,,,,,,
49,88,Snacks,Chips,X,,,,,,
49,89,Snacks,Soda,X,,,,,,
49,90,Snacks,Energy Drink,X,,,,,,
49,230,Snacks,Misc,X,,,,,,
50,193,Light Vanilla Custard,Regular,X,,,,,,
50,231,Light Vanilla Custard,Misc,X,,,,,,
51,93,Fresh Baked Cookies,Cookie,X,,,,,,
51,94,Fresh Baked Cookies,Three Cookie Special,X,,,,,,
51,95,Fresh Baked Cookies,Cookie Sundae - Kids,X,,,,,,
51,96,Fresh Baked Cookies,Cookie Sundae - Regular,X,,,,,,
51,97,Fresh Baked Cookies,Cookie Sundae - Large,X,,,,,,
51,232,Fresh Baked Cookies,Misc,X,,,,,,
52,142,SRS Open Discounts,SRS Open Discounts,X,,,,,,
52,233,SRS Open Discounts,Misc,X,,,,,,
53,99,Cool Stuff Consumer Goods,Men's T-Shirts Small - XL,X,,,,,,
53,100,Cool Stuff Consumer Goods,Men's T-Shirts XXL+,X,,,,,,
53,101,Cool Stuff Consumer Goods,Women's T-Shirts Small - XL,X,,,,,,
53,102,Cool Stuff Consumer Goods,Women's T-Shirts XXL+,X,,,,,,
53,103,Cool Stuff Consumer Goods,Plush Ice Guy,X,,,,,,
53,104,Cool Stuff Consumer Goods,Bumper Magnets,X,,,,,,
53,105,Cool Stuff Consumer Goods,Cooler Bag,X,,,,,,
53,173,Cool Stuff Consumer Goods,HipFits,X,,,,,,
53,234,Cool Stuff Consumer Goods,Misc,X,,,,,,
53,418,Cool Stuff Consumer Goods,Rita's Tumbler with Straw,X,,,,,,
53,419,Cool Stuff Consumer Goods,Rita's Cinched Backpack,X,,,,,,
54,115,Cakes & Novelties,Frozen Custard Cakes,X,,,,,,
54,116,Cakes & Novelties,Frozen Cookie Sand Plain 4 Pack,X,,,,,,
54,117,Cakes & Novelties,Frozen Cookie Sand Variety 4 Pack,X,,,,,,
54,119,Cakes & Novelties,OREO Cookie Sandwich Variety Pack,X,,,,,,
54,120,Cakes & Novelties,Candles,X,,,,,,
54,121,Cakes & Novelties,Piping Gel,X,,,,,,
54,235,Cakes & Novelties,Misc,X,,,,,,
54,258,Cakes & Novelties,Chocolate Chip Cookie Custard Sandwich Pack,X,,,,,,
54,259,Cakes & Novelties,Chocolate Chip Cookie Custard Sand Pack w/Topping,X,,,,,,
54,260,Cakes & Novelties,Chocolate Chip Cookie Custard Sand Variety Pack,X,,,,,,
54,261,Cakes & Novelties,Individual Custard Cookie Sandwich,X,,,,,,
54,262,Cakes & Novelties,Individual Custard Cookie Sandwich w/ Toppings,X,,,,,,
54,279,Cakes & Novelties,Individual Chocolate Chip Custard Cookie Sandwich,X,,,,,,
54,280,Cakes & Novelties,Indiv Chocolate Chip Custard Cookie Sand w/ Top,X,,,,,,
54,349,Cakes & Novelties,Custard Pint,X,,,,,,
54,410,Cakes & Novelties,Cookie Sandwich Pack - Individual,X,,,,,,
54,411,Cakes & Novelties,Cookie Sandwich Pack w/Topping - Individual,X,,,,,,
55,182,Topping,Topping Portion,X,,,,,,
55,236,Topping,Misc,X,,,,,,
56,237,Apparel,Misc,X,,,,,,
57,238,Apparel XXL,Misc,X,,,,,,
58,239,Cakes,Misc,X,,,,,,
59,240,Cookie Sandwich Pack,Misc,X,,,,,,
60,241,Stuffing,Misc,X,,,,,,
61,170,Smart All Discounts,Smart All Discounts,X,,,,,,
61,242,Smart All Discounts,Misc,X,,,,,,
62,183,Full Service Catering (Open $),Open $ Catering,X,,,,,,
62,243,Full Service Catering (Open $),Misc,X,,,,,,
63,244,Shared Mobile Event - Non-Mobile Store,Misc,X,,,,,,
64,172,Frozen Coffee,Regular,X,,,,,,
64,245,Frozen Coffee,Misc,X,,,,,,
64,291,Frozen Coffee,Large,X,,,,,,
65,246,FDOSpring Cups,Misc,X,,,,,,
66,174,Other Sales Information,Alex's Fundraiser Card $,X,,,,,,
66,175,Other Sales Information,FDOSpring Sales Information $,X,,,,,,
66,176,Other Sales Information,FDOSpring Cups #,X,,,,,,
66,177,Other Sales Information,FDOSummer Sales Information $,X,,,,,,
66,178,Other Sales Information,Easter Sales Information $,X,,,,,,
66,179,Other Sales Information,Alex's Paper Lemons $,X,,,,,,
66,180,Other Sales Information,Gift Cards,X,,,,,,
66,181,Other Sales Information,Gift Certificates,X,,,,,,
66,184,Other Sales Information,Alex's Donation Bucket,X,,,,,,
66,187,Other Sales Information,FDOSummer Ices Sold #,X,,,,,,
66,188,Other Sales Information,FDOSummer Gelatis Sold #,X,,,,,,
66,247,Other Sales Information,Misc,X,,,,,,
66,278,Other Sales Information,Watermelon Chip VIP (max. 10),X,,,,,,
66,287,Other Sales Information,4 for $10 Family Pack,X,,,,,,
66,288,Other Sales Information,2 for $5 Lemonades,X,,,,,,
66,289,Other Sales Information,$1.99 Lemonade,X,,,,,,
66,290,Other Sales Information,Rita's Rewards Free Mango-Strawberry (10 Max),X,,,,,,
66,295,Other Sales Information,$3 Blendini,X,,,,,,
66,297,Other Sales Information,$3 Gelati,X,,,,,,
66,298,Other Sales Information,$3 Misto,X,,,,,,
66,300,Other Sales Information,$2 Candy Flavored Ice,X,,,,,,
66,301,Other Sales Information,Breast Cancer T-Shirt,X,,,,,,
66,333,Other Sales Information,Soft/Grand Free Reg Ice,X,,,,,,
66,352,Other Sales Information,$2 Gelati,X,,,,,,
66,412,Other Sales Information,Donation - non-Alex's,X,,,,,,
67,189,Popcorn,Regular,X,,,,,,
67,190,Popcorn,Large,X,,,,,,
67,248,Popcorn,Misc,X,,,,,,
68,191,Wrigley Gum,Wrigley Gum $0.69,X,,,,,,
68,192,Wrigley Gum,Wrigley Gum - 2 For $1.00,X,,,,,,
68,249,Wrigley Gum,Misc,X,,,,,,
69,250,Cookie Sandwich Pack w/Topping,Misc,X,,,,,,
70,251,Cookie Sandwich Variety Pack,Misc,X,,,,,,
71,194,Better for You,Products made with Sugar Free Ice,X,,,,,,
71,195,Better for You,Products made with Light Custard,X,,,,,,
71,196,Better for You,Products made with BOTH SF Ice & Light Custard,X,,,,,,
71,252,Better for You,Misc,X,,,,,,
72,253,Custard Cup Test,Kids to Regular Cup/Cone,X,,,,,,
72,254,Custard Cup Test,Regular to Large Cup/Cone,X,,,,,,
72,255,Custard Cup Test,Kids to Regular Sundae,X,,,,,,
72,256,Custard Cup Test,Regular to Large Sundae,X,,,,,,
74,281,Non-Mapped Product,Misc,X,,,,,,
75,282,Fundraiser Cards,Fundraiser Card,X,,,,,,
75,399,Fundraiser Cards,Misc,X,,,,,,
76,283,Smoothie Ice,Regular,X,,,,,,
76,284,Smoothie Ice,Large,X,,,,,,
76,292,Smoothie Ice,Kids,X,,,,,,
76,293,Smoothie Ice,Smoothie Upcharge,X,,,,,,
76,294,Smoothie Ice,Quart,X,,,,,,
77,285,Smoothie Ice Smoothies,Regular,X,,,,,,
77,286,Smoothie Ice Smoothies,Large,X,,,,,,
78,296,Non Revenue Product,Misc,X,,,,,,
78,355,Non Revenue Product,First Time,X,,,,,,
78,356,Non Revenue Product,Repeat,X,,,,,,
79,302,Discount,Discount,X,,,,,,
80,312,Test - Snacks,Churro Bites,X,,,,,,
